,count,mean,std,min,25%,50%,75%,max
int_debt,32893,0.479467759,6.192466321,0,0.042,0.058,0.086,347.837
int_debt_zscore,32893,14.09710182,206.5917877,-1.985195155,-0.538358008,0,0.97577389,11701.88425
int_debt_sector_zscore,32893,12.24770072,210.3226399,-5.607895917,-0.576812152,0,0.922899442,16716.6891
dpr,33227,0.510972131,16.98597151,-1363.9,0,0.178,0.446,1078.92
dpr_zscore,33227,1.275630723,62.82826396,-5071.574102,-0.67294751,0,1.014821711,4010.689083
cash_conversion_sector_zscore,33282,28.22343499,1930.098231,-2.123289931,-0.569827282,0,0.95813295,198317.506
cash_conversion,33284,8692.846266,617162.3104,0,36.93425,70.368,130.608,63600000
cash_conversion_zscore,33284,145.0871195,10443.14241,-1.216367494,-0.552258001,0,1.004860049,1079253.423
inv_turn,34187,50.23824445,1039.431872,-1.573,2.388,4.902,11.808,84310.7
inv_turn_zscore,34187,9.357502298,215.4820499,-1.323928765,-0.513768559,0,1.420118286,17599.92274
inv_turn_sector_zscore,34187,17.72309673,586.4170791,-2.057296674,-0.526569993,0,1.676314205,53880.18531
int_totdebt_sector_zscore,34387,16.7197046,1282.411182,-9.735307313,-0.60211093,0,0.796911525,136549.4136
int_totdebt,34417,0.844737513,67.16335229,-0.166,0.036,0.051,0.073,7102
int_totdebt_zscore,34417,29.70502087,2510.98288,-8.150142067,-0.598175565,0,0.822491401,265513.2346
spcsrc,34963,49.7182021,28.13564221,0.5,13,60.5,79.5,99
spcsrc_zscore,34963,-0.322470402,0.841502683,-1.794526694,-1.420666966,0,0.568266786,1.151487962
forward_three_month_return_sector_zscore,35426,7.726413389,370.831424,-15.36451656,-0.690398544,0,0.654870895,22036.93304
forward_three_month_return,35510,75.25332849,3353.783481,-99.93906542,-12.91302576,-0.952473801,8.830978923,156798.773
forward_three_month_return_zscore,35510,4.881069685,216.7095804,-8.011231062,-0.727768586,0,0.625701339,11779.01277
past_three_month_return_sector_zscore,35634,8.58104245,390.0194841,-15.50650429,-0.691360408,0,0.65922419,23045.50243
past_nine_month_return_median,35642,-2.280419974,6.040938899,-8.900083963,-7.875,-2.130177515,0.939258498,11.19301662
past_ten_month_return_median,35642,-1.018315013,6.331999611,-8.25513804,-7.199159222,-1.457142857,1.659751037,12.987862
past_eleven_month_return_median,35642,-0.632123434,7.566941934,-11.52871622,-4.21481985,-2.47691016,0.620281109,13.86375554
past_nine_month_return_mad,35642,17.70273103,8.206560267,3.75950428,13.25416112,15.76271717,27.30257956,28.68991176
